Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
WeatherMapAPI:HTTP Request,370243,66,34,1231,24.24,0.017%,1233.86777,1057.68,230.62,877.8
TOTAL,370243,66,34,1231,24.24,0.017%,1233.86777,1057.68,230.62,877.8
