Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,370243,66,61,81,97,159,34,1231,0.017%,1233.86777,1057.68,230.62
TOTAL,370243,66,61,81,97,159,34,1231,0.017%,1233.86777,1057.68,230.62
